Event Link,Date & Time,Event Name,Location,Event Description,Attendees,Hosted By,Category
https://www.meetup.com/attachment-styles-support-group/events/300531930/?recId=e6e88e97-c499-498d-999a-c0c58c00b11a&recSource=ml-popular-events-nearby-online&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-08T13:00:00-05:00,Lets Talk Attachment,Online,"Welcome to Let's Talk AttachmentThe group where we talk about attachment styles. How they affect how we view ourselves, other people, our relationships, and what we can do to manage our style, as well as become more securely attached.
🎉Schedule for 2024🎉
1 - 2pm, The first hour of the group will be spent on Attachment Theory basics. (At these online events, we will stop admitting members the first hour at 1:10pm to limit disruption. We will admit again starting at 2pm.)
2 - 3pm, Second hour will be spent talking about managing and healing your attachment style and improving relationships.
Look forward to learning together! See you soon.",82,Tracy,Entertainment
https://www.meetup.com/torontotnt/events/304359321/?recId=e6e88e97-c499-498d-999a-c0c58c00b11a&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-15T12:45:00-05:00,Holiday Brunch @ HOTHOUSE - BEST BRUNCH BUFFET IN TORONTO!,"35 Church Street · Toronto, ON","Holiday Brunch @ HOTHOUSE:Every time I host this event, it sells out. The reason for this is because it is theBESTbuffet or theBESTbrunch in Toronto and I would say in the GTA. I get asked all the time where to eat and I will always say Hot House. There food is fresh, they have a good selection but most of all they have the VERY BEST desserts at ANY BUFFET in the City or GTA. If you love cake this is your buffet!
Cost of the Buffet:$45 plus tip and tax (please note that they are ONLY offering the brunch buffet)
Meetup time:12:45am. I will only wait 5mins
Menu (please click the Sunday Brunch Menu):https://www.hothouserestaurant.com/menu/
PLEASE DON'T CALL THE RESTURENT AS THEY WILL NOT KNOW ANYTHING ABOUT THIS EVENT. PLEASE MESSAGE MATHEW FOR ALL QUSTIONS.
Save your spot fee:$25 - E -transfer must be sent to mathewmaclean@hotmail.com within 24hrs of signing up or will be moved to no. We only have room for 20 people. Once you show up to the event you will receive $20 back ($5 to help support the group). There areNO REFUNDS or Exchanges.This is to ensure that those sign up are 100% sure they will becoming. I will be making reservations.How to find me:I will be wearing my MOOSE hat outside by the front of the door. PLEASE DON'T GO IN WITHOUT ME!
Rules:Click Here!
THIS GROUP IS OPEN TO THOSE THAT WANT TO BE SOCIAL, MAKE FRIENDS, THAT ARE SINGLE OR NOT SINGLE. WE ALSO HAVE LOTS OFOTHER EVENTS LIKE, MOVIES, WALKS, HIKES, ARTS & CULTURE AND RESTAURANTS.
Leaving time- Any time you like.
NOTE:Sometimes things happen and I might have to cancel so please keep a look out for that!
Don't Forget to join our email list(Meetup does not send out emails to everyone in a group) to get our weekly news later about upcoming events:http://eepurl.com/hKt76f
Mathew is the organizer for this meetup. If you need to contact him, please post a message on the wall, or email him attorontomoviesandoutings@hotmail.com",12,Mathew,Entertainment
https://www.meetup.com/authentic-friendships-over-coffee/events/304887913/?recId=e6e88e97-c499-498d-999a-c0c58c00b11a&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-08T19:00:00-05:00,"***The Best Place to Make New Friends*** Coffee at Waterfront, Downtown, Toronto","88 Queens Quay West · Toronto, ON","Goals? Just get out there, meet new people over coffee and make new friends in Toronto. ***NEW Location***
LOCATION: We meet at Tim Hortons at 10 Bay St., Toronto, ON M5J. Note that this is inside the RBC WaterPark Place at 88 Queens Quay W, Toronto, ON M5J 0B6. When you reach the RBC WaterPark Place simply go up the escalator to the 2nd floor food court, locate the section near Tim Hortons. The host would be there. Most shops will be closed and this is good so we have a quite place so we will be able to hear each other. You can get a beverage on your way either from the Union station or the Aroma cafe downstairs that closes at 7pm so be slightly early.
What to bring? This is a chill event just come a talk to simply listen. This is a Free event and no your don't need to buy anything or support anyone. Just bring your self, and if you need coffee grab one on your way.
This event is good for someone who want to make genuine friends, get over their past, build new relationships, singles, network for new opportunities, like coffee and tea socials, like Language and culture, Practice their english, or whose interest include topics such as culture, dance, sports including Skiing or Snowboarding, Crypto, Content Creation, AI and Video Games.",3,Jay K.,Entertainment
https://www.meetup.com/toronto-mystery-readers/events/298699919/?recId=e6e88e97-c499-498d-999a-c0c58c00b11a&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-08T13:00:00-05:00,Vera Wong’s Unsolicited Advice for Murderers by Jesse Sultanto (Moreen’s pick),"100 Front Street East, N/E side of Front ST & Jarvis · Toronto, ON",We're back in person at the Jason George!,11,Dianne L.,Other
https://www.meetup.com/musical-intent/events/304536092/?recId=e6e88e97-c499-498d-999a-c0c58c00b11a&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-28T19:00:00-05:00,Christmas Concert,Online,"Instruments, Mics, and Amps will be provided. You are always encouraged to bring your own.
Theme Holidays.
More Details Pending..
Check out our Weekly Jams or Contact me atKyleK@musicalintent.com",2,Error,Entertainment
https://www.meetup.com/toronto-tabletop-roleplaying-games-society/events/304903635/?recId=e6e88e97-c499-498d-999a-c0c58c00b11a&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-06T16:00:00-05:00,M&A Cafe: Chill Out Session,"1710 Avenue Road · Toronto, ON","Join us at this lovely Turkish cafe for some chill hangouts. Share company while you work on your own projects; such as writing, reading or handicrafts. This place is great for tasty beverages and treats and is very mellow. This is a planning/creative event that can facilitate games you might be creating, playing in or running but this is not a gaming event.",2,Eryn and Jordan S.,Entertainment
https://www.meetup.com/meetup-group-zcqtsvqj/events/304778503/?recId=e6e88e97-c499-498d-999a-c0c58c00b11a&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-12T20:00:00-05:00,Thursday badminton 8pm-10pm at Epic Sports,"39 Bertrand Ave · Toronto, ON","📍:Epic Sports 39 Bertrand Ave.🗓️:Thursday 8:00pm-10:00pm💰 $10 Cash only.*
Check list✅Bring your A GAME✅Water💦✅ *Badminton Racket 🏸 *✅Indoor court shoes✅Please arrive 10 mins before we begin.✅Stretch before you play
🙌🏽Rules
Games are for fun. All skill level welcome. Be respectful! No bullying/insult. 0 fight tolerance!",2,Christie Y.,Entertainment
https://www.meetup.com/torontovegan/events/304658587/?recId=e6e88e97-c499-498d-999a-c0c58c00b11a&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-09T19:00:00-05:00,"FREE Vegan Conversational French, English, and Spanish Class!!","600 Bay St. · Toronto, ON","*These classes are not a language exchange, but instead are meant to be a step in between so that students feel confident maintaining in depth and grammatically correct oral conversations outside of class*
*Meetup event numbers only tend to show new students registering and do not include returning students attending class.Per class, there is an average of 7 students.The first 2 classes are free and then only cost between $15 and $45 depending on which type of class you want to continue with.*
These French and Spanish classes are primarily meant for adults who are travellers, or who are planning to live in a French or Spanish-speaking country. The classes are primarily oral-based through guided conversations. They will teach you how to handle conversations in situations such as""Going to the Convenience Store"",""Making Plans"",""Negotiating Prices"", and""Going out for a Drink"". To ensure that students get used to using the language automatically, students will learn to maintain contextual conversations with timing before moving on to the next lesson.Program is also offered in private and online classes. Call (647)787-9953, e-mail us info@monkeylingo.ca, or visit monkeylingo.ca for more information!Online and private classes are also available!
No other French nor Spanish classes are as oral as these ones. We guarantee it! Group classes are hosted at600 Bay Street(Wishbone Animal Rights Lab) every Sunday, Monday, Tuesday, and Wednesday. Call (647)787-9953 upon arrival if no one is there to let you in, and someone will come down to let you in.
Parking is available across from the Greyhound bus station on Elm Street and Bay Street.",1,Dane R.,Entertainment
https://www.meetup.com/toronto-tabletop-roleplaying-games-society/events/304814795/?recId=e6e88e97-c499-498d-999a-c0c58c00b11a&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-10T18:30:00-05:00,Toronto Tabletop Roleplaying Game Society December Social,"292a Harbord St, · Toronto, ON","Are you interested in tabletop roleplaying games like Dungeons and Dragons, Powered by the Apocalypse, Ten Candles and more? Come join the Toronto Tabletop Society at the Bickford Brewery Tuesday December 10th! Meet fun people interested in running and playing in RPG's and have some great beers at the Bickford!
We are dedicated to providing gaming community that is safe, inclusive and fun! Hope to see you there.",1,Jordan S.,Entertainment
https://www.meetup.com/ml-center-for-pranic-healing-and-spirituality/events/304878231/?recId=e6e88e97-c499-498d-999a-c0c58c00b11a&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-07T13:00:00-05:00,Free Pranic Healing clinic,"257 Eglinton Ave W suite 208 · Toronto, ON","Free Pranic Healing Clinic
Saturday, December 7th, 2024
We will start with the Meditation on Twin Hearts
and then proceed with the Pranic healing clinic,
First come First served basis for the clinic
We are open from 1pm to 4pm,
The Pranic Healing sessions are free,
Location
Mei Ling Center for Pranic Healing and Spirituality
257 Eglinton Avenue West
Suite 208
Toronto",2,pius k.,Entertainment
https://www.meetup.com/ca-badminton-meetup-toronto-group-gta/events/304661875/?recId=42dff7ad-ba79-44f3-8960-8201ef71bf51&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-09T21:00:00-05:00,$12 Monday Night 9PM -12AM @ CA Badminton,Online,"Cost $ 12* Included Plastic birdies, please try to have cash and pay before playing.(EMT OR DEBIT CARD IS ACCEPTED * PLUS TAX)*** Not registered $15Location: 1370 Birchmount Rd, Unit 6*The close intersection in Birchmount Rd & Lawrence Ave.Time: Monday 9PM - 12 AM*** 9PM- 12 AM 2 courts available******Please bring your own racquet,*Please bring indoor gym sport shoes. (Change shoes in the club)****This weekly gathering is for all levels (beginner to advance) badminton players.*No outside food allowed.* This event is for the purpose of playing friendly double games and for all levels of players from beginner to advance. Please do not use this as an opportunity to do training and singles games.Attendance in effect -please give at least 12hr notice in advance for cancelation so others may have time to react. Late show and no-shows maybe permanently removed from group and unable to rejoin.",2,Wendy,Entertainment
https://www.meetup.com/fitness-workout-group/events/304629107/?recId=42dff7ad-ba79-44f3-8960-8201ef71bf51&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-08T07:00:00-05:00,Beach Boardwalk Walk 🏖️ & Lake Dip to Setup a Powerful Week Ahead! 💪,"Boardwalk · Toronto, ON","Live updates in our WhatsApp group - Message Aaron 647-702-0831 to be added.
AS SEEN ON CBC News 📺
WHAT: Fresh Air time! Be part of an AMAZING community to connect and be active together! Come to the beach and choose from the following:
Watch the sunrise with a coffee!!
Go for a walk!
Go for a run!
Do a push-up or two!
WHERE: Woodbine Beach in Toronto (East part - see map pin)
If you have trouble finding it, call/text Pooria 647-687-4115
WHEN: Every Saturday OR Sunday at 7:00-9:00 AM
The day and timing can vary a bit, depending on the week, and we post any updates in our WhatsApp group. Message Aaron 647-702-0831 to be added to the group chat.
OR call/text Pooria at 647-687-4115 if you are planning to join us, to make sure there are not any updates :D
Typical timing:
7:00-8:00 Boardwalk walk and/or Run - all levels welcome!!
8:00-8:30 Lake Cold Plunge - Watch or Participate
8:30-9:30 Coffee Social at the beach
BRING: Fun attitude :D",1,Pooria J.,Entertainment
https://www.meetup.com/toronto-musicians-meetup-group/events/304735795/?recId=42dff7ad-ba79-44f3-8960-8201ef71bf51&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-19T19:00:00-05:00,Musicians Christmas Party| @ Offworld Bar ( tickets at tomusicians.com),Online,"Toronto Musicians Social Mixer - Christmas Edition🎅Date & Time:Thursday, December 19, 2024, 7:00 PM – 11:00 PM ESTLocation:Offworld Bar, 739 Queen St W, Toronto, ON M6J 1G1Celebrate the holiday season with Toronto's vibrant music community at ourMusic Industry Night Christmas Party! This festive gathering is designed for artists, musicians, producers, and industry professionals to connect, collaborate, and celebrate the year's achievements.🎶 Event Highlights:
💡What’s New?
🎟️Why Attend?This event is your chance to discover new collaborators, gain insights from industry pros, and share your passion for music in a relaxed and inspiring environment. Whether you’re looking to meet potential bandmates, partners, or simply enjoy a night out surrounded by fellow music enthusiasts, this is where you want to be!Don’t miss out! Grab your tickets now before they sell out!Visit our website www.tomusicians.com https://www.tomusicians.com or follow us on Instagram @torontomusicianshub https://www.instagram.com/torontomusicianshub for more updates.
Get ready for an unforgettable night of music and connection! 🎉🎶",3,Sina K. and Tochi O.,Entertainment
https://www.meetup.com/toronto-tabletop-roleplaying-games-society/events/304848726/?recId=42dff7ad-ba79-44f3-8960-8201ef71bf51&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-11T19:00:00-05:00,Drop in DnD at Steadfast Brewery,"301 Lansdowne Ave · Toronto, ON","Join us on the 2nd and 4th Wednesdays of every month to do some cool adventuring!
Sign up for our Dungeons & Dragons nights to enjoy pints, monsters and general DnD thrills. No experience necessary, but the glory is in high demand. Sign up at the taproom or DM us https://www.instagram.com/steadfastbrewing/",1,Jordan S.,Entertainment
https://www.meetup.com/toronto-solo-world-travelers-and-emigrates/events/304871135/?recId=42dff7ad-ba79-44f3-8960-8201ef71bf51&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-21T19:00:00-05:00,World Solo Travelers and emigrates Pre Christmas social at Granite Brewery,"245 Eglinton Ave. East, (at Mount Pleasant) · Toronto, ON","Please join me and other current or aspiring Global Solo Travelers, for a few hours, for a pre Holidays Sat eve social at Granite Brewery in Midtown. Come hang out, socialize with others, give/receive advice on Global Solo Travel or just come to make new like-minded friends in this awesome venue.
I booked a super cool section of the main dining room called ""The Snug"" where you can stand and mingle with each other or grab a seat at one of the tables. Also been to this place a few times and it's great.
It's located, right at Mt Pleasant and Eglinton Ave.It's just a few blocks from the Yonge and Eglinton subway.There's also plenty of parking on the street on Mt Pleasant, south of Eglinton.
Hope to see you there.",2,Omar,Entertainment
https://www.meetup.com/meetup-group-mbglenao/events/304694380/?recId=42dff7ad-ba79-44f3-8960-8201ef71bf51&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-11T14:00:00-05:00,St. Tim's Doors Open,"100 Old Orchard Grove · Toronto, ON","St. Tim's Doors Open is a one-hour drop-in for people to meet a minister. The church space is open for prayer, pastoral counselling and listening.",1,"St Timothy's Anglican Church, N.",Entertainment
https://www.meetup.com/toronto-non-denominational-christian-fellowship-meetup-group/events/304506757/?recId=42dff7ad-ba79-44f3-8960-8201ef71bf51&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-06T19:30:00-05:00,Let's meet up for an online Bible Study...,Online,"Let's meet up for a Bible Study entitledDiscovery Classon zoom on Fridays at 7:30pm.
Do you want to embrace Jesus for the first time?Perhaps you want to renew your perspective on God, orrecommit to finding your purposein life? God has designed you in a unique and special way.Discovery classes are where you can journeywith others like yourself to find out where you fit in God’s perfect plan for the world.
For more information or to register, please visit www.milestonechurches.com/discovery or contact me at 647-839-1295.
Thank you!
Josephine

![img](https://secure.meetupstatic.com/next/images/QuestionV2.svg?w=48)
(24)",1,Josephine,Business
https://www.meetup.com/meetup-group-mbglenao/events/304674917/?recId=42dff7ad-ba79-44f3-8960-8201ef71bf51&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-10T14:00:00-05:00,St. Tim's Doors Open,"100 Old Orchard Grove · Toronto, ON","St. Tim's Doors Open is a one-hour drop-in for people to meet a minister. The church space is open for prayer, pastoral counselling and listening.",1,"St Timothy's Anglican Church, N.",Entertainment
https://www.meetup.com/richmond-hill-friends/events/304696873/?recId=42dff7ad-ba79-44f3-8960-8201ef71bf51&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-11T18:30:00-05:00,Jump the hump boardgames,"220 Roycal Crest Court, Unit 3 · Markham, ON","Join us getting over the mid week blues with some boardgame fun!
Try modern classics or one from latest & greatest.
WoodForSheep sitting fee: $8 per person",1,Nathaniel T.,Entertainment
https://www.meetup.com/toronto-bruce-trail-club/events/304268267/?recId=42dff7ad-ba79-44f3-8960-8201ef71bf51&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-14T10:15:00-05:00,Urban Walk: Humber River/Black Creek Trail,"Jane St. & BLoor St. W · Toronto, ON","Join us for a morning hike north on the Humber Recreation Trail to Dundas Street and eastbound on the Black Creek and Lavender Creek Trail to the Junction Craft Beverage Company in the renovated ""Destructor"" Incinerator building. Light snacks available for purchase, a variety of rotating non-alcoholic beverages are also available as well as Junction and Woodhouse Craft Beers. You can also order delicious Italian sandwiches from the nearby Fuoco Mio Pannini food truck opening at 1:00 PM.
Please register at the link below (After Sat Nov 30 6:00 AM)RSVP on Meetup doesn't complete your registration.
https://hikes.brucetrail.org/event/urban-walk-humber-river-black-creek-trail-2/2024-12-14/",4,Tom and Toronto Bruce Trail C.,Entertainment
https://www.meetup.com/meetup-group-zcqtsvqj/events/304778500/?recId=42dff7ad-ba79-44f3-8960-8201ef71bf51&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-19T20:00:00-05:00,Thursday badminton 8pm-10pm at Epic Sports,"39 Bertrand Ave · Toronto, ON","📍:Epic Sports 39 Bertrand Ave.🗓️:Thursday 8:00pm-10:00pm💰 $10 Cash only.*
Check list✅Bring your A GAME✅Water💦✅ *Badminton Racket 🏸 *✅Indoor court shoes✅Please arrive 10 mins before we begin.✅Stretch before you play
🙌🏽Rules
Games are for fun. All skill level welcome. Be respectful! No bullying/insult. 0 fight tolerance!",1,Christie Y.,Entertainment
https://www.meetup.com/narcissistic-abuse-survivors-thrivers/events/301245517/?recId=42dff7ad-ba79-44f3-8960-8201ef71bf51&recSource=ml-popular-events-nearby-online&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-09T19:00:00-05:00,Narcissistic Abuse Survivor Community Support Circle,Online,"Feeling the support of others who understand what we've experienced, we'll share our truth and be heard in the safe container of the circle. Using neuroscience and ancient wisdom teachings, I'll offer experiential transformative tools, inspiration and knowledge to help us gain perspective and self-awareness, knowing that baby steps are our path to a peaceful life. Everyone's wisdom is welcome, as we are all students and teachers on the journey of life.
Topic: Narcissistic Abuse Survivors Community Support Circle7:00 PM Eastern Time (US and Canada)
Join Zoom Meetinghttps://us02web.zoom.us/j/8179896766
Meeting ID: 817 989 6766
---
One tap mobile+13092053325,,8179896766# US+13126266799,,8179896766# US (Chicago)
---
Dial by your location• +1 309 205 3325 US• +1 312 626 6799 US (Chicago)• +1 646 558 8656 US (New York)• +1 646 931 3860 US• +1 301 715 8592 US (Washington DC)• +1 305 224 1968 US• +1 360 209 5623 US• +1 386 347 5053 US• +1 507 473 4847 US• +1 564 217 2000 US• +1 669 444 9171 US• +1 669 900 9128 US (San Jose)• +1 689 278 1000 US• +1 719 359 4580 US• +1 253 205 0468 US• +1 253 215 8782 US (Tacoma)• +1 346 248 7799 US (Houston)
Meeting ID: 817 989 6766
Find your local number: https://us02web.zoom.us/u/kdlcJIDfnF",35,Raye,Entertainment
https://www.meetup.com/backyard-venture/events/304832203/?recId=42dff7ad-ba79-44f3-8960-8201ef71bf51&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-19T13:00:00-05:00,Hike: Bob hunter rouge park,"7277 14th Ave East · Markham, on","Location:7277 14th Ave, Markham, ON L6B 1A8https://maps.app.goo.gl/2R6Fy7gTEhf2DnhN7
Distance: 4-5kmSpeed: 2-3km/hr
Meet at the parking lot in front the tesla charring area. Everyone of different age and levels of fitness are welcome to join. This will be a slow and relaxing hike that will offer a good chance to get some fresh air while enjoy the beautiful nature around us.
WhatsApp community group:https://chat.whatsapp.com/D698ppurYVlAfSfuGlZgz6New members will only be able to join the ""chit-chat / New member"" group. Request to join other groups in the community can only be made to an admin at an in person event.
Late arrivals:Be punctual and arrive at least 5 mins before the start time. If you're late, you can buy the host a drink or leave $5 tip for the inconvenience. If you can not find us or running late, please contact the whatsapp group above and not on meetup.
RSVP No show:RSVP no show are simply not tolerated in this group, period. Think about it, everyone is there but you and members are trying to contact you to see where you're at. We decide to wait a bit long but you never show up and everyone wasted time waiting around for no reason. That's just not cool. If you can't make it, isyour responsibility to update your statues to not goingin advance. Failure to do so could result in a permanent suspension from the group.
General notice:Wear comfortable outdoor shoes and clothing suitable for the weather condition. Friendly dogs & kids are welcome to join with a supervised adult. If the event is more than 3hrs, you might want to consider bring some food and drink. If you wish to leave early, you may do so at anytime. There is a possibility this event could be rescheduled to the following week due to any unexpected situation / weather condition. However, the odds are low. If you have any question(s), kindly contact via WhatsApp group above.
Disclaimer:By RSVP to this event, you agree and consent to the following: We’ll have fun together as a group but you’re solely responsible for yourself, your safety, the decision(s) you make or take part in and shall not hold the organizer, any other participant, this group, accountable or legally responsible. There will be photos, video & audio recording taken of you and other members during this event which may be posted on social network platforms, such as but not limited to, Meetup, Facebook, Instagram, Youtube, etc.
Carpool:If you need a ride, leave a message below.",1,run with B.,Entertainment
https://www.meetup.com/grand-rapids-natural-health-and-nutrition/events/304330032/?recId=42dff7ad-ba79-44f3-8960-8201ef71bf51&recSource=ml-popular-events-nearby-online&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-17T19:30:00-05:00,ONLINE: Nutrition 101: Learn how food is used for health and healing,Online,"Why is what we eat so important to our health but also so difficult?Are your health concerns all caused by what you are eating?99% of your health is determined by what you eat.There is a war going on right now between the food industry and your health. Stop spending your hard earned dollar on fake foods. Learn the truth and get well.
This class will offer you key proven approaches to achieve your health objectives and put your health in order. Learn why food is used for health and healing or for causing disease.
You won’t be told what to eat or not eat, just a guide of how to use foods for nutrition which is the only way to Restore, Rebuild and Repair FUNCTION of your body!
Imagine shopping, cooking, and eating out with more confidence knowing what your body thrives on! Learn about which foods are actually beneficial to consume for yourself and your loved ones? Which foods fuel your body? Which foods to avoid?
Come to this FREE class to learn all things nutrition.
What you will learn:The 6 foods that can destroy your health.Is sugar in moderation ok?Common myths about “health foods”What foods can heal and restore function in the body.Who is this class for?ANYONE who wants to have a deeper understanding of what the body needs to function optimally.",46,Amy T.,Entertainment
https://www.meetup.com/c4a-ai/events/303884183/?recId=42dff7ad-ba79-44f3-8960-8201ef71bf51&recSource=ml-popular-events-nearby-online&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-12T12:00:00-05:00,Security Risk in AI/ML,Online,"In Security Risk in AI/ML, participants will learn about the attacks that can be made against AI models and how to defend against those attacks. Designed for a general audience, this presentation will teach participants how to incorporate AI security risk into their organizational strategy and AI development workflows.
Randy AbernethyManaging PartnerRX-M, LLChttps://rx-m.com/",41,Center for Applied A.,Business
https://www.meetup.com/lessons-for-beginning-a-new-relationship/events/304424661/?recId=ed692272-7ccb-4a74-88ae-4f6c1c54fda2&recSource=ml-popular-events-nearby-online&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-09T19:00:00-05:00,How To Get Rid of Social Anxiety!,Online,"Do other people have more fun than you do? There are simple life hacks you can use to improve your communication skills and your social life. Communication is not just yakking. Communication is the whole experience of connecting with people and forming relationships. It includes the joy, understanding, and love formed among people.In our meetings, you will learn:
Feeling lonely, isolated, or bored? This meeting is exactly what you need! Come join us!This group is brought to you by the Dianetics & Scientology life improvement center.",60,Bett,Entertainment
https://www.meetup.com/the-russian-lit-book-club-of-dc/events/304331821/?recId=ed692272-7ccb-4a74-88ae-4f6c1c54fda2&recSource=ml-popular-events-nearby-online&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-16T18:45:00-05:00,“Tolstoy or Dostoevsky?” - George Steiner,Online,"https://wri.zoom.us/j/96847926569?pwd=ykbtAwNcXIANi9cDiVmM2bI8S1BbH8.1
Meeting ID: 968 4792 6569Passcode: 847774
This critical analysis of the two great masters of the Russian novel provides detailed plot summaries of the authors' works and draws on references to Homer, Shakespeare, Flaubert, Zola and Henty in order to illustrate the themes.",40,Waleed N. and Tina,Business
https://www.meetup.com/hranalyticspros/events/304642898/?recId=ed692272-7ccb-4a74-88ae-4f6c1c54fda2&recSource=ml-popular-events-nearby-online&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-11T18:00:00-05:00,Passive vs Active? Combining market intelligence&employee voice for what's ahead,"109 West 39th Street, New York, NY 10018 · New York, NY","2025 is shaping up to create a complex discourse in and about the workplace. Business-friendly labor policies are colliding with employee expectations. Immigration restrictions threaten to create skills shortages. Unions face uncertainty. Changes to overtime laws, reproductive care access, RTO mandates, and DEI programs are creating tension. Add to this the anxiety about AI transforming – or even eliminating – entire occupations. Headlines predict workforce upheaval, but what's really happening on the ground?
Like the data we collect, we have a choice: remain passive observers of change, or actively engage with the insights. How do we cut through the noise and replace fear with facts? How do we build an early warning system that transforms passive market intelligence and active employee feedback into actionable insights? What signals truly matter? Where should organizations focus their response?
Market data tells one story. Employee sentiment tells another. People Analytics sits at this intersection, uniquely positioned to separate signal from noise and identify where organizations can make meaningful impact – serving both people and profits. When we combine real workforce intelligence with authentic employee voice, we replace speculation with insight, anxiety with understanding, and paralysis with action.
To bridge these perspectives and help us prepare for what’s to come in 2025 we bring together two voices representing organizations that study these trends closely:
Join us as we close out 2024, celebrating the year's end in our traditional style while actively preparing for the changes ahead. Because in the face of transformation, the choice between staying passive or taking action makes all the difference.
Thank you toRevelio Labsfor the generous support of our event!
This is a paid event to offset some of our operational costs. If you are unable to afford the registration fee - please emailslupusho@gmail.com
See you in December!Stela, Jeremy, Philip, Ian, Ekta, Bennet
P.S. Spreading awareness aboutTransform Awards- great opportunity to nominate someone (or yourself too!) to get recognition for the great work you're doing. The category for ""Reporting & Insights of 2025"" is perfectly suited to our group. Deadline - Nov 27!Submit your entries here.",40,Jeremy S. and 4 others,Entertainment
